Source,State,Species,Cultivar,Fat,CP,Ash,ADF,NDF,NFC,DM,carb,cellulose,lignin,Growth Stage,lab,fy,Site,Sample,name,latitude,longitude,Sampling,Planting,Termination,Block,Zadoks
NY-MD-2015,NY,Triticale,NE426GT,2.99,20.22,7.22,19.43,34.4,38.7,,,,3.19,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,NE426GT,2.9,19.9,5.56,17.77,30.09,44.68,,,,3.46,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,NE426GT,2.77,20.5,8.63,19.74,36.13,35.39,,,,2.96,,,,Musgrave,,,,,5/1/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,NE426GT,2.87,19.45,7.14,18.58,31.98,41.88,,,,3.29,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,TriMark099,3.07,18.28,6.6,18.36,31.42,43.72,,,,3.39,,,,Musgrave,,,,,5/1/2015,,,Blk1,31
NY-MD-2015,NY,Triticale,TriMark099,3.14,19.16,6.39,18.85,32.71,42.03,,,,3.43,,,,Musgrave,,,,,5/1/2015,,,Blk2,31
NY-MD-2015,NY,Triticale,TriMark099,3.08,20.21,7.94,19.85,36.32,36.11,,,,2.75,,,,Musgrave,,,,,5/1/2015,,,Blk3,31
NY-MD-2015,NY,Triticale,TriMark099,2.61,18.03,9,19.69,34.27,39.15,,,,3.82,,,,Musgrave,,,,,5/1/2015,,,Blk4,31
NY-MD-2015,NY,Barley,Verdant,2.97,22.38,8.3,19.93,35.83,34.91,,,,2.64,,,,Musgrave,,,,,5/5/2015,,,Blk1,31
NY-MD-2015,NY,Barley,Verdant,3.13,22.55,7.82,22.25,42.31,29.09,,,,2.79,,,,Musgrave,,,,,5/5/2015,,,Blk2,31
NY-MD-2015,NY,Barley,Verdant,3.09,21.7,8.96,22.56,40.2,31.06,,,,2.45,,,,Musgrave,,,,,5/5/2015,,,Blk3,31
NY-MD-2015,NY,Barley,Verdant,3.05,21.72,7.89,21.12,37.73,34.17,,,,2.53,,,,Musgrave,,,,,5/5/2015,,,Blk4,31
NY-MD-2015,NY,Barley,Valor,2.53,26.15,9.58,22.22,40.15,26.5,,,,2.41,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Barley,Valor,2.9,25.04,9.92,21.86,40.16,27.41,,,,2.15,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
NY-MD-2015,NY,Barley,Valor,2.64,26.42,10.58,23.11,41.37,24.47,,,,2.35,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Barley,Valor,2.95,22.13,7.98,20.4,36.18,35.28,,,,2.91,,,,Musgrave,,,,,5/5/2015,,,Blk4,31
NY-MD-2015,NY,Barley,P919,2.99,19.09,8.55,22.67,39.7,33.84,,,,2.35,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Barley,P919,2.87,23.65,7.28,20.47,37.23,33.38,,,,2.85,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
NY-MD-2015,NY,Barley,P919,2.68,22.44,8.63,21.2,39.01,31.67,,,,2.1,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Barley,P919,2.88,22.94,7.72,20.28,36.95,33.87,,,,2.63,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Barley,Thoroughbred,2.92,20.52,8.2,23.42,39.92,32.87,,,,2.94,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Barley,Thoroughbred,2.95,25.21,9.6,21.87,39.34,28.24,,,,2.5,,,,Musgrave,,,,,5/5/2015,,,Blk2,31
NY-MD-2015,NY,Barley,Thoroughbred,2.9,25.76,9.89,20.81,38.16,28.55,,,,2.45,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Barley,Thoroughbred,2.88,22.18,8.41,21.58,38.54,32.8,,,,2.67,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Cereal rye,Huron,3.17,20.98,8.84,26.67,49.62,22.28,,,,2.93,,,,Musgrave,,,,,5/5/2015,,,Blk1,34
NY-MD-2015,NY,Cereal rye,Huron,3.25,17.21,7.54,26.02,48.02,28.3,,,,3.08,,,,Musgrave,,,,,5/5/2015,,,Blk2,33
NY-MD-2015,NY,Cereal rye,Huron,3.07,20.48,7.71,23.48,45.65,27.54,,,,2.69,,,,Musgrave,,,,,5/5/2015,,,Blk3,33
NY-MD-2015,NY,Cereal rye,Huron,3.25,20.18,7.87,26.66,49.62,24.01,,,,3.03,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Cereal rye,Spooner,3.24,18.87,8.09,26.68,49.28,25,,,,2.81,,,,Musgrave,,,,,5/5/2015,,,Blk1,34
NY-MD-2015,NY,Cereal rye,Spooner,3.24,21.43,8.66,26.28,48.55,22.97,,,,2.78,,,,Musgrave,,,,,5/5/2015,,,Blk2,33
NY-MD-2015,NY,Cereal rye,Spooner,3.06,18.12,7.86,26.63,49.09,26.02,,,,3.08,,,,Musgrave,,,,,5/5/2015,,,Blk3,34
NY-MD-2015,NY,Cereal rye,Spooner,3.3,20.05,8.51,23.86,41.46,31.32,,,,2.34,,,,Musgrave,,,,,5/5/2015,,,Blk4,33
NY-MD-2015,NY,Cereal rye,Aroostook,3.12,21.16,9.32,25.93,47.65,23.59,,,,2.95,,,,Musgrave,,,,,5/5/2015,,,Blk1,33
NY-MD-2015,NY,Cereal rye,Aroostook,3.28,19.52,8.35,28.54,51.55,21.64,,,,3.13,,,,Musgrave,,,,,5/5/2015,,,Blk2,34
NY-MD-2015,NY,Cereal rye,Aroostook,3.16,18.21,8.77,28.04,50.01,24.28,,,,3.33,,,,Musgrave,,,,,5/5/2015,,,Blk3,34
NY-MD-2015,NY,Cereal rye,Aroostook,3.12,19.45,8.08,26.93,48.86,24.82,,,,3.15,,,,Musgrave,,,,,5/5/2015,,,Blk4,33
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.12,17.61,8.28,27.52,51.3,23.94,,,,2.89,,,,Musgrave,,,,,5/5/2015,,,Blk1,34
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.37,20.57,8.39,24.66,46.87,25.63,,,,2.54,,,,Musgrave,,,,,5/5/2015,,,Blk2,33
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.09,22.3,8.59,23.43,44.8,25.73,,,,2.58,,,,Musgrave,,,,,5/5/2015,,,Blk3,33
NY-MD-2015,NY,Cereal rye,LakeviewVNS,3.3,22.23,8.12,23.92,46.13,25.25,,,,2.57,,,,Musgrave,,,,,5/5/2015,,,Blk4,32
NY-MD-2015,NY,Triticale,TriCal815,2.95,17.99,7.48,23.31,42.27,32.99,,,,2.84,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Triticale,TriCal815,3.08,16.75,7.61,23.16,39.34,36.84,,,,3.15,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
NY-MD-2015,NY,Triticale,TriCal815,3.01,17.28,8.91,25.68,45.19,29.63,,,,2.99,,,,Musgrave,,,,,5/5/2015,,,Blk3,32
NY-MD-2015,NY,Triticale,TriCal815,3.08,18.56,7.7,22.16,38.78,35.43,,,,2.97,,,,Musgrave,,,,,5/5/2015,,,Blk4,31
NY-MD-2015,NY,Triticale,TriCal718,3.06,22.07,9.22,23.79,43.44,26.56,,,,2.78,,,,Musgrave,,,,,5/5/2015,,,Blk1,32
NY-MD-2015,NY,Triticale,TriCal718,3.09,20.98,8.44,22.17,39.09,32.75,,,,3.08,,,,Musgrave,,,,,5/5/2015,,,Blk2,32
