Account#,Sample#,Date_Processed,Sampled_By,Sampled_For,Description1,Product_Type,Test_Mode,Moisture,Dry_Matter,pH,CP,AD-ICP,ND-ICP_w/oNa2SO3,ND-ICP_w/Na2SO3,SP%CP,ADF,aNDF,aNDFom,Lignin,uNDFom48,NDFD48,uNDFom240,NDFD240,WSC(Sugar),ESC(Sugar),Starch,EE(Fat),TFA(Fat),Ash,Ca,P,Mg,K,S,Adj_CP,NFC,TDN_ADF,NEL3x_ADF,NEG_ADF,NEM_ADF,TDN_OARDC,NEL3x_OARDC,NEG_OARDC,NEM_OARDC,TDN_Milk2013,NEL3x_Milk2013,NEM_Milk2013,NEG_Milk2013,Milk/Ton_Milk2013,RFV,RFQ
7592,00116060046545,6/23/2016,Cornell University,MUSGRAVE 826,B4 Date8 Blk2,7,N9,8.02,91.98,5.57,9.18,0.66,1.47,1.51,30.28,33.52,51.77,50.29,5.8,21.2,57.84,18.21,63.79,11.91,4.87,12.06,2.5,1.65,7.36,0.3,0.27,0.16,2.05,0.13,9.18,32.03,65.81,67.83,30.57,56.32,60.85,62.31,34.2,60.29,59.32,70.04,58.14,32.24,3297,112.92,124.13
7592,00116060046546,6/23/2016,Cornell University,MUSGRAVE 827,B4 Date8 Blk3,7,N9,8.05,91.95,5.54,9.53,0.73,1.52,1.61,32.11,32.09,49.27,47.87,5.82,20.65,56.86,18.21,61.96,11.58,9.95,14.5,2.51,1.63,7.28,0.32,0.27,0.17,1.89,0.13,9.53,34.3,66.25,68.32,31.68,57.53,61.58,63.12,35.26,61.46,60.28,71.19,59.68,33.64,3362,120.87,130.05
7592,00116060046547,6/23/2016,Cornell University,MUSGRAVE 828,B4 Date8 Blk4,7,N9,8.29,91.71,5.47,8.28,0.57,1.32,1.33,29.71,31.55,48.62,47.23,5.73,20.54,56.51,17.32,63.33,12.86,4.89,15.22,2.75,1.85,7.21,0.3,0.26,0.16,1.84,0.12,8.28,35.76,66.42,68.51,31.53,57.37,62.31,63.94,35.75,62,60.73,71.84,59.79,33.74,3401,123.16,131.87
7592,00116060046548,6/23/2016,Cornell University,MUSGRAVE 829,R1 Date1 Blk1,7,N9,8.69,91.31,6.92,21.67,0.75,3.47,3.53,35.26,21.31,40.04,38.91,2.94,11.8,69.67,8.81,77.36,12.16,8.55,4.96,3.33,2.21,7.88,0.49,0.42,0.3,3.26,0.27,21.67,31.86,69.58,72.03,39.37,66.01,69.53,71.98,50.11,78.09,69.11,77.53,77.23,49.36,3875,168.14,202.06
7592,00116060046549,6/23/2016,Cornell University,MUSGRAVE 830,R1 Date1 Blk2,7,N9,8.82,91.18,6.59,19.1,0.7,3.06,2.99,36.81,22.57,41.73,40.55,3.08,12.54,69.08,9.55,76.45,13.42,8.06,5.57,3.26,2.1,7.58,0.48,0.39,0.29,3.09,0.24,19.1,32.66,69.19,71.6,37.84,64.32,68.85,71.22,48.3,76.03,68.31,76.85,75.07,47.45,3827,159.23,192.78
7592,00116060046550,6/23/2016,Cornell University,MUSGRAVE 831,R1 Date1 Blk3,7,N9,8.16,91.84,6.69,21.65,0.75,3.46,3.2,43.46,22.05,42.28,41.08,2.84,10.72,73.9,6.99,82.98,11.28,7.08,3.8,3.03,1.8,9.12,0.48,0.43,0.29,3.54,0.28,21.65,28.55,69.34,71.77,38.45,64.99,67.28,69.47,47.4,75.01,67.65,74.63,75.22,47.59,3719,157.9,197.55
7592,00116060046551,6/23/2016,Cornell University,MUSGRAVE 832,R1 Date1 Blk4,7,N9,9.52,90.48,6.75,19.44,0.72,3.11,3.09,34.77,21.65,39.36,38.25,3.3,12.8,66.54,9.71,74.61,13.98,8.53,7.38,3.17,2.04,6.86,0.49,0.39,0.28,2.92,0.24,19.44,35.5,69.47,71.91,38.93,65.52,69.8,72.28,49.55,77.45,69.22,78.47,76.43,48.66,3912,170.3,199.83
7592,00116060046552,6/23/2016,Cornell University,MUSGRAVE 833,R1 Date2 Blk1,7,N9,9.03,90.97,6.52,20.98,0.61,3.36,3.08,44.04,26.67,49.62,48.29,2.93,10.53,78.19,7.43,84.61,9.29,6.32,2.78,3.17,1.69,8.84,0.4,0.46,0.26,3.65,0.26,20.98,22.28,67.93,70.19,35.31,61.52,65.38,67.36,44.87,72.16,66.59,72.3,73.48,46.04,3598,127.79,180.72
7592,00116060046553,6/23/2016,Cornell University,MUSGRAVE 834,R1 Date2 Blk2,7,N9,8.77,91.23,6.28,17.21,0.56,2.75,2.59,40.44,26.02,48.02,46.65,3.08,11.13,76.14,8.3,82.21,13.24,6.92,4.78,3.25,1.89,7.54,0.37,0.39,0.24,3.15,0.21,17.21,28.3,68.12,70.41,34.7,60.85,66.93,69.08,45.27,72.61,67.96,74.77,73.78,46.31,3744,133,184.97
7592,00116060046554,6/23/2016,Cornell University,MUSGRAVE 835,R1 Date2 Blk3,7,N9,8.72,91.28,6.48,20.48,0.53,3.28,2.9,42.92,23.48,45.65,44.35,2.69,10.21,76.98,7.7,82.64,12.18,6.74,3.95,3.07,1.82,7.71,0.39,0.43,0.25,3.49,0.25,20.48,27.54,68.9,71.28,36.73,63.08,68.19,70.48,48.12,75.83,68.78,75.46,76.26,48.51,3794,143.96,195.4
